Marca;Modelo;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
CORVEN;        CORVEN ENERGY 110 TUNING;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
GILERA;        GILERA SMASH;2.231;2.437;4.140;3.264;2.794;2.236;2.569;3.232;2.779;3.656;3.478;2.610;1.998;1.853;1.942;41.219
GILERA;        GILERA SAHEL 150;172;175;263;281;328;311;354;453;339;345;253;216;197;185;216;4.088
GILERA;        GILERA VC 150;166;145;259;237;186;209;266;219;221;347;300;335;262;269;355;3.776
GILERA;        GILERA SMX 200;130;124;213;197;163;104;112;124;103;138;147;100;102;105;108;1.970
GILERA;        GILERA VOGE 300DS;46;25;23;53;92;78;93;154;181;145;100;28;84;77;60;1.239
GILERA;        GILERA VOGE 500DS;51;35;77;107;93;79;103;117;110;94;64;21;56;49;33;1.089
GILERA;        GILERA VOGE 650DS;50;29;45;48;53;40;42;53;53;70;65;34;68;59;56;765
GILERA;        GILERA VOGE 300 RALLY;0;25;23;13;36;43;46;90;103;81;51;15;41;35;28;630
GILERA;        GILERA SG 150;26;32;71;46;53;25;24;20;28;62;65;38;32;28;27;577
GILERA;        GILERA SMX 250;36;55;48;44;42;33;47;44;24;48;33;22;21;28;35;560
GILERA;        GILERA AC4;22;24;49;39;36;33;26;33;29;56;27;23;21;22;24;464
GILERA;        GILERA VOGE 300AC;18;27;38;28;36;20;31;38;23;39;21;10;14;18;20;381
GILERA;        GILERA VOGE SR4 MAX;0;0;0;0;0;1;29;58;39;39;41;24;36;47;27;341
GILERA;        GILERA VOGE 500R;23;11;11;15;33;21;32;40;38;34;28;10;23;13;7;339
GILERA;        GILERA VC 70;8;3;21;18;10;10;11;15;25;17;24;19;12;11;15;219
GILERA;        GILERA GX1;0;0;0;11;14;15;19;20;15;23;0;0;25;39;34;215
GILERA;        GILERA VOGE 300;23;9;13;16;21;16;22;25;17;23;7;3;1;7;2;205
GILERA;        GILERA VOGE 500AC;0;0;0;0;0;0;8;17;11;19;20;4;8;6;6;99
GILERA;        GILERA VC 200 R;14;12;13;18;13;1;1;4;7;1;4;6;0;0;0;94
GILERA;        GILERA GX1;10;12;16;0;0;0;0;0;0;0;19;16;0;0;0;73
GILERA;        GILERA FR-200 HOT BEAR;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;10
GILERA;        GILERA EG2;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;9
GILERA;        GILERA EG2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7
GILERA;        GILERA YL 200;0;1;2;0;0;0;0;1;1;1;0;0;0;0;0;6
GILERA;        GILERA EG2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6
GILERA;        GILERA EG2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6
GILERA;        GILERA SUPER SPORT;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
GILERA;        GILERA EG2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3
GILERA;        GILERA EG2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA SUPER SPORT 150;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA YL 200;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA EG2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA EG2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA EXTRA;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA EG2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
GILERA;        GILERA FUTURA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA G150 SUPER SPORT;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA MACHO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA SPRING 200;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA SPRING COUNTRY TC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA SPRINT COUNTRY;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA 1970;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA EXTRA 200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA GT200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA MONOSHOCK;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA SPORT;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA FUTURA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA GILERA 200;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA VC150 SUPER SPORT;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA FR-110 FREE RUNNER;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA FR-250;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
GILERA;        GILERA EG2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
ZANELLA;        ZANELLA ZB 110;1.559;1.233;1.688;1.517;1.481;1.201;1.195;1.466;911;1.114;1.150;981;682;675;529;17.382
ZANELLA;        ZANELLA ZB 110 RT;1.105;855;1.122;1.110;934;574;942;1.338;1.000;1.139;1.055;897;833;744;668;14.316
ZANELLA;        ZANELLA RX 150 Z7;277;323;498;381;371;352;377;467;383;486;437;425;318;325;362;5.782
ZANELLA;        ZANELLA DUE CLASSIC;343;264;368;400;348;284;361;454;283;366;351;318;219;245;189;4.793
ZANELLA;        ZANELLA ZR 150 ZT;0;0;333;312;342;340;309;408;133;139;106;72;46;36;30;2.606
ZANELLA;        ZANELLA ZR 150;69;91;100;80;109;76;80;111;136;208;298;246;144;190;150;2.088
ZANELLA;        ZANELLA ZB 125 R;147;133;224;186;171;91;112;182;142;167;104;100;94;99;95;2.047
ZANELLA;        ZANELLA SAPUCAI 150 F;70;69;104;70;83;67;90;119;73;86;75;73;68;60;55;1.162
ZANELLA;        ZANELLA CECCATO R 150;58;43;63;65;46;44;46;60;60;77;69;48;27;21;24;751
ZANELLA;        ZANELLA HOT 90;71;78;107;0;86;56;67;75;0;78;0;56;0;0;0;674
ZANELLA;        ZANELLA PATAGONIAN EAGLE 150;61;46;59;37;38;37;32;44;45;52;47;52;35;25;23;633
ZANELLA;        ZANELLA ZR 150 ZT;249;271;0;0;0;0;0;0;0;0;0;0;0;0;0;520
ZANELLA;        ZANELLA STYLER 150 RT;30;22;34;38;38;26;40;45;41;35;45;37;25;16;21;493
ZANELLA;        ZANELLA STYLER 150 EXCLUSIVE;0;99;143;0;122;81;0;0;0;0;0;0;0;0;0;445
ZANELLA;        ZANELLA STYLER 150 EXCLUSIVE;0;0;0;0;0;0;0;0;0;87;0;59;75;110;47;378
ZANELLA;        ZANELLA Z MAX 200;24;22;28;16;33;17;22;42;24;31;29;19;9;12;8;336
ZANELLA;        ZANELLA ZR 250;5;11;17;12;15;17;18;48;23;33;43;26;29;22;14;333
ZANELLA;        ZANELLA STYLER 150 EXCLUSIVE;119;0;0;103;0;0;90;0;0;0;0;0;0;0;0;312
ZANELLA;        ZANELLA HOT 90;0;0;0;78;0;0;0;0;60;0;61;0;44;37;31;311
ZANELLA;        ZANELLA STYLER 150 EXCLUSIVE;0;0;0;0;0;0;0;101;99;0;100;0;0;0;0;300
ZANELLA;        ZANELLA ZR 200;5;0;14;21;12;12;20;28;27;33;41;48;0;18;18;297
ZANELLA;        ZANELLA CRUISER X 150;21;32;25;15;20;6;10;5;21;32;40;22;11;16;11;287
ZANELLA;        ZANELLA CRUISER X1;12;3;11;3;10;10;4;16;7;17;10;28;45;37;18;231
ZANELLA;        ZANELLA RZ 650 MT;42;20;23;19;12;5;6;4;7;10;4;1;2;5;0;160
ZANELLA;        ZANELLA RZ 400;12;13;12;11;2;3;5;4;3;1;0;0;0;0;0;66
